loss,accuracy,val_loss,val_accuracy,lr
2.729917287826538,0.5071507096290588,1.2732480764389038,0.5892857313156128,0.001
1.1033672094345093,0.6204620599746704,0.9988904595375061,0.6651785969734192,0.001
0.8613328337669373,0.6864686608314514,1.106156587600708,0.6339285969734192,0.001
0.7130870819091797,0.7326732873916626,0.9644750356674194,0.6651785969734192,0.001
0.6235274076461792,0.7645764350891113,0.9483934044837952,0.6607142686843872,0.001
0.5691473484039307,0.7673267126083374,0.9601590037345886,0.65625,0.001
0.49807092547416687,0.7992299199104309,0.7134304642677307,0.7767857313156128,0.001
0.4771555960178375,0.8085808753967285,0.7369174957275391,0.75,0.001
0.4272735118865967,0.8289328813552856,0.6684758067131042,0.7366071343421936,0.001
0.4211644232273102,0.8250824809074402,0.7167948484420776,0.7589285969734192,0.001
0.3730354607105255,0.8481848239898682,0.6645599007606506,0.8214285969734192,0.00090483745
0.3035731613636017,0.8789879083633423,0.6629058122634888,0.7767857313156128,0.0008187308
0.2877556085586548,0.883388340473175,0.5496638417243958,0.8392857313156128,0.0007408183
0.2736882269382477,0.8916391730308533,0.5839938521385193,0.8169642686843872,0.0006703201
0.2407037764787674,0.9081408381462097,0.6458821892738342,0.8392857313156128,0.00060653075
0.22700883448123932,0.908690869808197,0.5970725417137146,0.8169642686843872,0.00054881175
0.215506911277771,0.9125412702560425,0.6207177042961121,0.8392857313156128,0.0004965854
0.20279711484909058,0.9108911156654358,0.6180592775344849,0.8214285969734192,0.00044932903
0.19348829984664917,0.9207921028137207,0.6001591086387634,0.8169642686843872,0.0004065697
0.17850500345230103,0.9312431216239929,0.5234442949295044,0.8392857313156128,0.0003678795
