,time,Data
191,29/08/2021,0.764166667
192,30/08/2021,0.739375
193,31/08/2021,0.864166667
194,01/09/2021,0.840833333
195,02/09/2021,0.814375
196,03/09/2021,0.795833333
197,04/09/2021,0.800208333
198,05/09/2021,0.796458333
199,06/09/2021,0.7925
200,07/09/2021,0.8
201,08/09/2021,0.8
202,09/09/2021,0.8
203,10/09/2021,0.8
204,11/09/2021,0.8
205,12/09/2021,0.8
206,13/09/2021,0.8
207,14/09/2021,0.8
208,15/09/2021,0.8
209,16/09/2021,0.771041667
210,17/09/2021,0.753541667
211,18/09/2021,0.740416667
212,19/09/2021,0.845208333
213,20/09/2021,0.795
214,21/09/2021,0.743541667
215,22/09/2021,0.741666667
216,23/09/2021,0.734583333
217,24/09/2021,0.735208333
218,25/09/2021,0.724583333
219,26/09/2021,0.724375
220,27/09/2021,0.727291667
221,28/09/2021,0.73
222,29/09/2021,0.735208333
223,30/09/2021,0.72625
224,01/10/2021,0.743958333
225,02/10/2021,0.737916667
226,03/10/2021,0.722708333
227,04/10/2021,0.730416667
228,05/10/2021,0.928125
229,06/10/2021,0.997916667
230,07/10/2021,0.86
231,08/10/2021,0.807083333
232,09/10/2021,0.863333333
233,10/10/2021,0.845416667
234,11/10/2021,0.82625
235,12/10/2021,0.78625
236,13/10/2021,0.785833333
237,14/10/2021,0.805
238,15/10/2021,0.829791667
239,16/10/2021,0.791875
240,17/10/2021,0.775833333
241,18/10/2021,0.88625
242,19/10/2021,0.897083333
243,20/10/2021,0.856041667
244,21/10/2021,0.948958333
245,22/10/2021,0.974166667
246,23/10/2021,0.956666667
247,24/10/2021,0.975625
248,25/10/2021,0.966041667
249,26/10/2021,0.924375
250,27/10/2021,1.019166667
251,28/10/2021,1.011666667
252,29/10/2021,0.944166667
253,30/10/2021,1.000833333
254,31/10/2021,0.95
255,01/11/2021,0.920625
256,02/11/2021,1.015625
257,03/11/2021,0.89375
258,04/11/2021,0.872916667
259,05/11/2021,0.864375
260,06/11/2021,0.86
261,07/11/2021,0.852083333
262,08/11/2021,0.834583333
263,09/11/2021,0.82625
264,10/11/2021,0.84
265,11/11/2021,0.830416667
266,12/11/2021,0.822916667
267,13/11/2021,0.815
268,14/11/2021,0.81375
269,15/11/2021,0.815833333
270,16/11/2021,0.810625
271,17/11/2021,0.818333333
272,18/11/2021,0.92375
273,19/11/2021,0.946875
274,20/11/2021,0.86
275,21/11/2021,0.851666667
276,22/11/2021,0.8525
277,23/11/2021,0.836041667
278,24/11/2021,0.857291667
279,25/11/2021,0.852708333
280,26/11/2021,0.856041667
281,27/11/2021,0.863125
282,28/11/2021,0.928958333
283,29/11/2021,1.053333333
284,30/11/2021,1.021041667
285,01/12/2021,1.0775
